0.0102;833;204600;434;0.0219;2;165;-8.795;1;431;150.062;4.0;286;1;Mask Off;Future
199;743;326933;359;0.00611;1;137;-10.401;1;0.0794;160.083;4.0;588;1;Redbone;Childish Gambino
0.0344;838;185707;412;0.000234;2;159;-7.148;1;289;75.044;4.0;173;1;Xanny Family;Future
604;494;199413;338;0.51;5;0.0922;-15.236;1;0.0261;86.468;4.0;0.23;1;Master Of None;Beach House
0.18;678;392893;561;512;5;439;-11.648;0;0.0694;174.004;4.0;904;1;Parallel Lines;Junior Boys
0.00479;804;251333;0.56;0.0;8;164;-6.682;1;185;85.023;4.0;264;1;Sneakin’;Drake
0.0145;739;241400;472;7.27e-06;1;207;-11.204;1;156;80.03;4.0;308;1;Childs Play;Drake
0.0202;266;349667;348;664;10;0.16;-11.609;0;0.0371;144.154;4.0;393;1;Gyöngyhajú lány;Omega
0.0481;603;202853;944;0.0;11;342;-3.626;0;347;130.035;4.0;398;1;I've Seen Footage;Death Grips
0.00208;836;226840;603;0.0;7;571;-7.792;1;237;99.994;4.0;386;1;Digital Animal;Honey Claws
0.0572;525;358187;855;0.0143;5;649;-7.372;0;0.0548;111.951;3.0;524;1;Subways - In Flagranti Extended Edit;The Avalanches
0.0915;753;324880;748;0.00348;10;212;-8.62;1;0.0494;104.322;4.0;642;1;Donme Dolap - Baris K Edit;Modern Folk Üçlüsü
253;603;356973;434;0.0619;0;108;-11.062;1;0.0342;127.681;4.0;381;1;Cemalim;Erkin Koray
366;762;243270;476;0.0;0;103;-12.686;1;114;130.007;4.0;367;1;One Night;Lil Yachty
0.44;662;247288;603;0.0;9;0.0972;-8.317;0;0.0793;125.011;4.0;351;1;Oh lala;PNL
19;637;188333;832;0.0563;6;316;-6.637;1;163;99.988;4.0;317;1;Char;Crystal Castles
0.0239;603;270827;955;0.0451;1;119;-4.111;1;0.0458;123.922;4.0;773;1;World In Motion;New Order
233;789;447907;659;0.00049;4;184;-12.654;0;0.0429;122.415;4.0;842;1;One Nation Under a Groove;Funkadelic
314;713;195429;611;0.0;1;117;-6.702;0;241;140.061;4.0;783;1;Bouncin;Chief Keef
0.0242;735;214347;759;185;1;0.0966;-6.914;0;0.0449;109.982;4.0;763;1;C O O L - Radio Edit;Le Youth
0.000702;854;249253;719;308;10;428;-9.335;0;0.0655;128.049;4.0;471;1;Percolator (Jamie Jones Vault Mix) - mixed;Cajmere
